Group1,Group2,Group3,Group4,Group5,Group6,Group7,P,PairProduct,FinalResult,NormalizedFinalResult
1.1.,2.1.,3.2.,4.4.,5.1.,6.1.,7.2.,0.000162,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.4.,5.1.,6.1.,7.3.,0.00027,7.20179969612002,0.0019444859179524054,2.2780560097801756e-06
1.1.,2.1.,3.2.,4.4.,5.1.,6.2.,7.1.,7.2e-05,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.4.,5.1.,6.2.,7.2.,0.00010800000000000001,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.4.,5.1.,6.2.,7.3.,0.00018,17.5537721314168,0.003159678983655024,3.7017114041489435e-06
1.1.,2.1.,3.2.,4.4.,5.2.,6.1.,7.1.,0.00054,2051.325803554187,1.107715933919261,0.0012977409180989492
1.1.,2.1.,3.2.,4.4.,5.2.,6.1.,7.2.,0.0008099999999999998,2427.0118243673714,1.9658795777375706,0.0023031196807457685
1.1.,2.1.,3.2.,4.4.,5.2.,6.1.,7.3.,0.0013499999999999999,308.5001696751415,0.41647522906144097,0.00048792016940243704
1.1.,2.1.,3.2.,4.4.,5.2.,6.2.,7.1.,0.00036,8484.732375689018,3.054503655248047,0.0035784935979688817
1.1.,2.1.,3.2.,4.4.,5.2.,6.2.,7.2.,0.00054,7457.284314570425,4.026933529868029,0.0047177405832597545
1.1.,2.1.,3.2.,4.4.,5.2.,6.2.,7.3.,0.0009,765.6145229625637,0.6890530706663073,0.0008072578331355581
1.1.,2.1.,3.2.,4.4.,5.3.,6.1.,7.1.,0.00032399999999999996,560.7001163412557,0.18166683769456682,0.00021283117947372933
1.1.,2.1.,3.2.,4.4.,5.3.,6.1.,7.2.,0.0004859999999999999,816.478072519857,0.3968083432446504,0.0004648794947362105
1.1.,2.1.,3.2.,4.4.,5.3.,6.1.,7.3.,0.0008099999999999998,103.78343499585738,0.08406458234664446,9.848558184781941e-05
1.1.,2.1.,3.2.,4.4.,5.3.,6.2.,7.1.,0.00021600000000000002,2867.116114798078,0.6192970807963849,0.0007255354352131931
1.1.,2.1.,3.2.,4.4.,5.3.,6.2.,7.2.,0.000324,3101.4477203344586,1.0048690613883646,0.0011772510066560221
1.1.,2.1.,3.2.,4.4.,5.3.,6.2.,7.3.,0.00054,318.4152992876711,0.17194426161534238,0.00020144072780558598
1.1.,2.1.,3.2.,4.4.,5.4.,6.1.,7.1.,0.00010800000000000001,67.90268284913166,0.00733348974770622,8.591525522599527e-06
1.1.,2.1.,3.2.,4.4.,5.4.,6.1.,7.2.,0.000162,93.48489990155802,0.015144553784052401,1.7742551614634077e-05
1.1.,2.1.,3.2.,4.4.,5.4.,6.1.,7.3.,0.00027,14.85371187324755,0.004010502205776838,4.698490520171615e-06
1.1.,2.1.,3.2.,4.4.,5.4.,6.2.,7.1.,7.2e-05,260.79890023819263,0.01877752081714987,2.1998742058942307e-05
1.1.,2.1.,3.2.,4.4.,5.4.,6.2.,7.2.,0.00010800000000000001,266.7261479708787,0.028806423980854902,3.37480702040592e-05
1.1.,2.1.,3.2.,4.4.,5.4.,6.2.,7.3.,0.00018,34.229855656262764,0.006161374018127298,7.218337238090441e-06
1.1.,2.1.,3.3.,4.1.,5.1.,6.1.,7.1.,7.2e-05,0.0,0.0,0.0
1.1.,2.1.,3.3.,4.1.,5.1.,6.1.,7.2.,0.00010800000000000001,0.0,0.0,0.0
1.1.,2.1.,3.3.,4.1.,5.1.,6.1.,7.3.,0.00018,37.99386949059846,0.006838896508307724,8.012086458008693e-06
1.1.,2.1.,3.3.,4.1.,5.1.,6.2.,7.1.,4.800000000000001e-05,0.0,0.0,0.0
1.1.,2.1.,3.3.,4.1.,5.1.,6.2.,7.2.,7.2e-05,0.0,0.0,0.0
1.1.,2.1.,3.3.,4.1.,5.1.,6.2.,7.3.,0.00012000000000000002,38.80666506003776,0.004656799807204532,5.455658325526176e-06
1.1.,2.1.,3.3.,4.1.,5.2.,6.1.,7.1.,0.00036,598.4034444769259,0.21542524001169333,0.0002523807234272739
1.1.,2.1.,3.3.,4.1.,5.2.,6.1.,7.2.,0.00054,866.9349352290628,0.46814486502369396,0.0005484535595598274
1.1.,2.1.,3.3.,4.1.,5.2.,6.1.,7.3.,0.0009,275.4926571950133,0.24794339147551195,0.0002904772556187234
1.1.,2.1.,3.3.,4.1.,5.2.,6.2.,7.1.,0.00024000000000000003,1037.1963206955547,0.24892711696693318,0.0002916297359463083
1.1.,2.1.,3.3.,4.1.,5.2.,6.2.,7.2.,0.00036,1116.2428515138702,0.4018474265449933,0.00047078301601664077
